question,answer
Ultimate Prizes,"Neville Aysgarth, an ambitious archdeacon who appeared as a relatively minor character in Glamorous Powers , takes center stage here to narrate the story of his lifetime quest for the ""ultimate prizes."" WW II has started, and Neville's marriage to Grace, the perfect wife and mother, is cracking under the pressure of being worthy of her perfection. After Grace dies, Neville marries socialite Dido Tallent, but when their first child dies at birth, his faith in both God and his own motives is rocked. In crisis, Neville asks his colleague Jon Darrow (narrator of Glamorous Powers ) for spiritual first aid and, guided by a wise abbot friend of Jon's, is forced to an honest appraisal of himself and his ambition--which has its roots in his early life. He struggles back to spiritual health and eventually emerges a wiser man, more honest and loving toward his family and his flock. This is the third in Howatch's incomparable series about the Church of England in the 20th century; it's a measure of her achievement that, besides telling a fascinating story boldly and well, she illuminates often quite abstruse religious and ecclesiastical questions. Here, Neville's ministry to captured Germans in a local prisoner-of-war camp leads to the discussion of Christian--ethical, moral--behavior during war, a topic that can never be out of date. Readers will await impatiently Scandalous Risks . 40,000 first printing; BOMC alternate.Copyright 1989 Reed Business Information, Inc.--This text refers to theHardcoveredition."
The Rhythm Section,"After the death of her parents and brother in a plane crash over the Atlantic, Stephanie Patrick descends into a life of prostitution and dissolution. She begins to pull herself together when a journalist tells her that the crash was no accident, that it was a terrorist bombing covered up by the world's intelligence agencies. Then the journalist is murdered, and Stephanie is recruited into a shadowy law enforcement agency to become a killer. If the plot of this first novel sounds a little like the movie and TV seriesLa Femme Nikita, that's understandable. But Burnell manages to inject some new life into the tired premise. Stephanie is a tough, resilient heroine, seriously challenged by the multiple personalities she's forced to don, while focused laserlike on avenging her family's death. Even the terrorists emerge as more than cardboard cutouts, especially in the climactic scene in which Stephanie confronts her antagonist. What begins as a B-movie knockoff ends as an entertaining meditation on the futility of terrorist brinkmanship.George Needham--This text refers to an out of print or unavailable edition of this title."
Death on the Air: And Other Stories,"'Ngaio Marsh worked largely within the conventions of the golden age detective story but transcended the genre by the power of her writing, the excellent use she makes of her own experience and interests, and the rich variety of characters who people her novels. The best of her books will endure.' P.D.James  'An elegant, disciplined writer, Marsh deserves to be read and re-read not just for her plots but for her characterisation, for her painter's eye view and for her outsider's insights into the heart of a vanished social world.' Susan Howatch  'I rate Ngaio Marsh among the best in this genre, having read and re-read them many times over the years.' Joan Hickson"
Hercule Poirot: The Complete Short Stories,'Little masterpieces of detection. Poirot and Agatha Christie at their inimitable best.' Sunday Express
Whispers in the Sand,"Recently divorced Anna Coburn cheers herself up by retracing a journey her great-mother Louise made in the nineteenth century, a Nile cruise from Luxor to the Valley of the Kings. She takes with her two mementoes of Louise, an ancient Egyptian scent bottle and her diary which has lain unread for 100 years in which she discovers a wonderful Victorian love story - and a chilling, more distant secret of the scent bottle as she finds herself pursued by the same terrifying spectres as her great grandmother.An eerie tale of romantic suspense by the author of the blockbusters Lady of Hay, Encounters, Distant Voices, On the Edge of Darkness et al."
Alice Hartley's Happiness,Praise for Philippa Gregory: 'Philippa Gregory... is a mesmerizing storyteller.' SUNDAY TELEGRAPH 'Fascinating... engrossing... mesmerising... riveting... compelling... a pacey narrative that is just begging to be read in one sitting.' SUNDAY EXPRESS 'A rich brew of passion and intrigue.' DAILY MAIL
Miss Garnet's Angel,"Guardian angels have attained such trendy status in American popular fiction that it's refreshing to read Vickers, a writer from across the Atlantic, whose subtle depiction of a life touched by a heavenly spirit carries not a hint of clich&#x82;. Her debut novel is an unpretentious gem of a book that charts the late coming-of-age of Miss Julia Garnet, a retired English schoolteacher who spends six months in Venice after her lifelong companion, Harriet, dies. Venice has a magical effect on reserved Julia: a dyed-in-the-wool Communist, she relaxes in her antipathy toward religion, and even begins to visit the local church. There, she becomes enamored of a series of paintings that tell the story of the Apocryphal book of Tobit, a tale that mixes elements of Judaism with the religion of Zoroaster. In the story, young Tobias travels to Medea, part of the Persian Empire, to collect a debt for his father, blind Tobit. He is accompanied on his journey by a hired guide who turns out to be the Angel Raphael. As Julia learns more about Tobias's trek, she embarks upon a soul-altering journey of her own. She falls in love with an art dealer, Carlo, and befriends Sarah and Toby, twins working on the restoration of a Venetian chapel. When Toby disappears suddenly, after discovering a priceless Renaissance painting, Julia finds out that neither Carlo nor the twins are exactly what they seem--but that the Angel Raphael's watchful spirit will help good prevail. (Feb.)Forecast: This touching novel, a sleeper hit in Britain, should win American fans eager for a treatment of religious themes without the gooey sentiment that often accompanies the topic of angels.Copyright 2001 Cahners Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
Tied Up in Tinsel,'So entertaining that I recommend it unreservedly.' Daily Telegraph  'Agreeably effortless telling.' Guardian  'One of her best and most baffling mysteries' Daily Express
Venona: The Greatest Secret of the Cold War,"The astonishing story of VENONA remains one of the last untold chapters in the history of the Cold War. Based on the only complete set of decrypts held in Britain outside Whitehall, and supplemented by interviews with most of the key players in the drama,VENONAreveals how the U.S. National Security Agency and its British counterpart, GCHQ, spent 37 years analyzing cipher traffic to and from Moscow. VENONA provided the FBI and CIA with compelling evidence against Julius and Ethel Rosenberg, Alger Hiss, and many others, but &#x8B;to protect the source &#x8B;VENONA could never be mentioned in any trial. Nigel West identifies, for the first time, the real names of several important Soviet British spies, disclosing that there are nearly 300 as yet unidentified agents in America and Britain. Once again, West proves himself a masterly guide to the intricate world of espionage and a supremely well-informed authority on the spies themselves."
Cartooning with &quot;The Simpsons&quot;,"'The wittiest and most literate show on television', Brenda Maddox, The Times"
The Only Game,"'Reginald Hill writes brilliantly throughout, creating memorable characters with chiselled skill' Sunday Times  'Reginald Hill stands head and shoulders above any other writer of homebred crime fiction' Observer"
The Other Boleyn Girl,"Sisterly rivalry is the basis of this fresh, wonderfully vivid retelling of the story of Anne Boleyn. Anne, her sister Mary and their brother George are all brought to the king's court at a young age, as players in their uncle's plans to advance the family's fortunes. Mary, the sweet, blond sister, wins King Henry VIII's favor when she is barely 14 and already married to one of his courtiers. Their affair lasts several years, and she gives Henry a daughter and a son. But her dark, clever, scheming sister, Anne, insinuates herself into Henry's graces, styling herself as his adviser and confidant. Soon she displaces Mary as his lover and begins her machinations to rid him of his wife, Katherine of Aragon. This is only the beginning of the intrigue that Gregory so handily chronicles, capturing beautifully the mingled hate and nearly incestuous love Anne, Mary and George (""kin and enemies all at once"") feel for each other and the toll their family's ambition takes on them. Mary, the story's narrator, is the most sympathetic of the siblings, but even she is twisted by the demands of power and status; charming George, an able plotter, finally brings disaster on his own head by falling in love with a male courtier. Anne, most tormented of all, is ruthless in her drive to become queen, and then to give Henry a male heir. Rather than settling for a picturesque rendering of court life, Gregory conveys its claustrophobic, all-consuming nature with consummate skill. In the end, Anne's famous, tragic end is offset by Mary's happier fate, but the self-defeating folly of the quest for power lingers longest in the reader's mind.Copyright 2002 Cahners Business Information, Inc.--This text refers to an alternatePaperbackedition."
The Wise Woman,"The author of the Wideacre trilogy offers another intense, absorbing tale, a grisly drama of passion and witchcraft in 16th-century England. Growing up as an ill-used apprentice to Morach, the much-feared wise woman of the moors, Alys finds respite by joining an order of Catholic nuns. When young Lord Hugo and his men burn the abbey to the ground during a drunken rampage, Alys is the only one to escape; she flees back to Morach, consumed with guilt at having abandoned her dying sisters. Summoned to minister to Lord Hugh, Hugo's father, Alys soon finds herself deeply involved in the treachery and intrigue surrounding the old man's attempts to have his son's marriage to the barren Lady Catherine annulled. Attracted to Hugo despite his murderous past, Alys begins to practice witchcraft in earnest to rid him of Catherine and become his wife. Her spells work all too well: Catherine's long-awaited pregnancy ends disastrously, and Hugo comes to love Alys, but in a sickly haze of lust that provides no basis for marriage. Alys soon finds herself so sunk in evil, so removed from God's love, that only a truly shocking gesture can bring about her salvation. Gregory adeptly manipulates hair-raising horror and mounting suspense, brilliantly evoking the period's turbulent atmosphere. Dou ble day Book Club alternate.Copyright 1993 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
Zelda's Cut,"Masquerading as a trashy novelist may solve English writer Isobel Latimer's financial problems, but it also plunges her into a full-fledged identity crisis in Gregory's flighty, overplotted novel. Isobel needs money to support her ailing husband, Philip, and his newfound interest in pool building, so when her agent, Troy Cartwright, informs her that her literary novels are earning less and less, she tells him, ""If they won't pay me to write good books, then I'll just have to write bad."" She and Troy invent the persona of Zelda Vere, a heavily made-up, well-dressed blonde bombshell, the opposite of 52-year-old country matron Isobel. Zelda's ""survivor fiction,"" The Devil's Disciple, is a major hit that earns Isobel all the money she could ever need, but she finds herself increasingly caught between superego and id, between an unfulfilling loyal marriage and sexual experimentation with Troy. When Isobel sets off on her book tour with Troy, Gregory's plot takes an exotic and erotic turn, depicting a world of cross-dressing, cocaine and champagne. Returning to her home in Kent, Isobel finds Philip miraculously recovered and expending all his energy on the construction of an expensive new pool. Philip has also decided to invest (with Isobel's money) in the handsome pool man's business. Backstabbers reveal themselves, to no one's surprise, and Isobel's deliberationsAshould she stay or should she go?Aare prolonged until an abrupt, bewildering denouement puts a stop to the runaway narrative. Gregory, a popular writer of historical fiction (Earthly Joys, etc.), knows whereof she speaks when she describes television interviews and book deals, though the over-the-top fantasy she spins from the details may test readers' patience. (Jan. 16)Copyright 2000 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
Growing Up with Dick and Jane: Learning and Living the American Dream,"Growing up with Dick and Janeis a simply presented but often amusing analysis of American popular culture and educational theories through the looking glass of the Dick and Jane readers. The book is a visual treat, with a layout that looks likeWiredmagazine for preschoolers. However, the real reward comes at the end: packaged into a pocket on the inside back cover is a small volume reprinting five classic Dick and Jane tales, includingLook,See It Go,andSomething Blue for Puff."
Redcoat: The British Soldier in the Age of Horse and Musket,"'I have never met Richard Holmes, but I am deeply jealous of him for Redcoat opens with the re-enactment of a Napoleonic battle that I wish I had written myself... The redcoat and his family were never appreciated, but Richard Holmes has written them a marvellous memorial. Redcoat is a wonderful book, full of anecdote and good sense. Anyone who has enjoyed a Sharpe story will love it, anyone who likes history will want to own it and anyone who cherishes good writing will read it with pleasure.' BERNARD CORNWELL, Daily Mail"
"Shikasta: Re: Colonised Planet 5: Personal, Psychological, Historical Documents Relating to Visit by Johor (George Sherban) Emissary (Grade 9) 87th of the Last Period of the Last Days","'Magnificent ... an astouding book that sets out to chronicle the whole world of humanity, spirit, earth, stars, soul, virtue, evil, pre-Eden forever' Myrna Blumberg, The Times 'Profound, relevant and daring' Rachel Billington, Financial Times 'Shikasta is a piercing diagnosis of the unease spreading through our civilization. A powerful fable.' W.L. Webb, Guardian 'Shikasta is at once a brief history of the world, a tract against human destructiveness, an ode to the natural beauties of this earth and a hymn to the music of the spheres.' Time"
In Xanadu,"'Brilliant' Spectator 'Glorious' Patrick Leigh Fermor 'Dalrymple is probably the best travel writer of his generation' Daily Mail 'The future of travel writing lies in the hands of gifted authors like Dalrymple' Sara Wheeler, Independent"
Fuzzy Thinking: The New Science of Fuzzy Logic,"Kosko , an engineering professor at the University of Southern California, makes a provocative new scientific paradigm intelligible to the general reader. Fuzzy logic posits a world in which absolutes, such as those implied in the words ""true"" and ""false , "" are less important and interesting than the matters of degree between them. ""Fuzziness is grayness,"" and ""the truth lies in the middle,"" according to Kosko, one of the pioneers of fuzzy logic theory, which he persuasively presents as a world view rooted more in Buddhist and Taoist assumptions than in the dichotomous Aristotelian tradition. He proposes FATs (Fuzzy Approximation Theorems) for the existence (and non-existence, as fuzziness demands) of God and as models of the abortion debate. In consumer terms, fuzzy logic is behind such ""smart"" machines as air conditioners and microwave ovens that gauge their operation to the conditions and demands of a given moment's task. Writing with style and risk, Kosko challenges assumptions, not about the existence of scientific authority, but about its nature.Copyright 1993 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
The Making of the Representative for Planet 8,"Doris Lessing is one of the most important writers of the twentieth century and was awarded the Nobel Prize for Literature 2007. Her first novel, 'The Grass is Singing', was published in 1950. Among her other celebrated novels are 'The Golden Notebook', 'The Fifth Child' and 'Memoirs of a Survivor'. She has also published two volumes of her autobiography, 'Under my Skin' and 'Walking in the Shade'. Her most recent novel is 'Alfred and Emily'."
Dangerous Pleasures: A Decade of Stories,"'Nattily subversive, sexually ambiguous, intelligent and disturbing. The prose sizzles with acidic observation.' Sunday Times 'Not one of these eleven stories is a dud. All of them are concerned with the fallout that occurs when soft-focussing fantasy collides with hard-nosed reality. The lingering after-effects ""lie on the sweeter side of bleak"". Witty, moving and very much alive.' Time Out 'Gale has long been a master of short fiction. So it comes as no surprise to find that his first collection of stories shows him to be an adept of the art ... the form utilises all his strengths of acute observation, gentle wit and humane acceptance of human diversity ... Wit and wisdom, metaphor and moment constantly combine to delight.' The Times 'Patrick Gale revels in absurd risks. It's the promise of an unexpected, and potentially implausible outcome that entices you into his stories. The prose sizzles with acidic observations.' Independent on Sunday 'Gale is a master of character, and he slips under the skins of his women protagonists with such wit that it's often hard to believe he's a man. From the misplaced passions of a jilted writer these fresh, clear-headed stories are reminiscent of Gale's back catalogue of acclaimed novels.' Elle 'Gale pins down the pain of love and leaving and the no-man's-land between the apparently real and the illusory. He writes of uncertain memories and threatened loyalties and, in Dressing Up In Voices, of a couple whose passionate, inevitable break-up is traced with unrelenting accuracy.' Scotland on Sunday"
Jumping to Conclusions,"Christina Jones, brought up in a circus family, wrote short stories for some time before being encouraged to write her first novel, Going the Distance, which became a highly successful WHS Fresh Talent entry. She is married and lives outside Oxford. This is her fourth novel."
The Kon-Tiki Expedition: By Raft Across the South Seas,"Text: English, Norwegian (translation)--This text refers to an out of print or unavailable edition of this title."
"The Flashman: from the Flashman Papers, 1839-42","'The Flashman Papers do what all great sagas do - winning new admirers along the way but never, ever betraying old ones. It is an immense achievement.' Sunday Telegraph 'Not so much a march as a full-blooded charge, fortified by the usual lashings of salty sex, meticulously choreographed battle scenes and hilariously spineless acts of self preservation by Flashman.' Sunday Times 'Not only are the Flashman books extremely funny, but they give meticulous care to authenticity. You can, between the guffaws, learn from them.' Washington Post 'A first-rate historical novelist' Kingsley Amis"
The Long Kill,"Eminent British author Reginald Hill, writing as Patrick Ruell, tells a feverishly suspenseful story here. A political assassin identified only by the terse surname Jaysmith, is sent to England's Lake District, where he misses his target, Steven Bryant. Since his forte, ""the long kill"" with the aid of a telescopic lens, is becoming impossible due to his failing eyesight, he phones in his resignation to the man he knows as Jacob in London. Later, the ex-gunman buys a cottage and meets a young widow, Anya Wilson, her small son and her father, whom Jaysmith recognizes as Bryant. The future seems bright for Jaysmith as he and Anya plan marriage, but Jacob suddenly materializes with armed hirelings to dispose of Steven and Anya. Alerted to a conspiracy, Jaysmith braves overwhelming odds in the shoot-out that caps the novel's shocking disclosure. This taut thriller is a tour de force enhanced by the author's evocations of the English countryside's natural splendor.Copyright 1988 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
Among the Mountains: Travels Through Asia,"Thesiger has been called the last of the great British ""gentlemen explorers."" Born in 1910 and educated at Eton and Oxford, he has been praised for his books on the Arab world (Arabian Sands, The Marsh Arabs) and on East and North Africa. This account presents edited portions of journal entries written during trips to remote mountain areas of Afghanistan, Pakistan, and Kurdistan between 1952 and 1965, as well as numerous black-and-white photographs that he took at the time. Some of these areas are more developed today than they were half a century ago, while others are even more inaccessible owing to political upheavals. Thesiger's writing is sparse, as would be expected from diary entries, and consequently may disappoint those looking for more detail or seeking current travel information. Those wanting to know more about Thesiger's remarkable life should read his autobiography, The Life of My Choice (LJ 3/15/98), which ought to be an essential purchase even for small public libraries. This account is a rather mechanical afterthought to the autobiography and may be purchased by large public libraries.DHarold M. Otness, formerly with Southern Oregon Univ. Lib., AshlandCopyright 2001 Reed Business Information, Inc."
From the Holy Mountain: A Journey in the Shadow of Byzantium,"'Compulsively readable.' John Julius Norwich, Observer 'Everything a really good travel book should be: witty, learned and also very funny.' Eric Newby 'Any travel writer who is so good at his job as to be brilliant, applauded, loved and needed has to have an unusual list of qualities, and William Dalrymple has them all in aces. Dalrymple's ear for conversation is as good as Alan Bennett's. The best and most unexpected book I have read since I forget when.' Peter Levi 'A rich stew of history and travel narrative spiced with anecdote, opinion and bon mots...The future of travel literature lies in the hands of gifted authors like Dalrymple who shine their torches into the shadowy hinterland of the human story - the most foreign territory of all.' Independent 'Dalrymple stands out as one of our most talented travel writers. Energetic, thoughtful, curious and courageous.' Sunday Times 'William Dalrymple has effortlessly assumed the mantle of Robert Byron and Patrick Leigh Fermor.' Guardian 'A splendid, effective and impressive book.' Financial Times"
The Queen's Conjuror: The Life and Magic of Dr. Dee,"'Fresh and original...Woolley thinks and writes beautifully. This is a distinguished and rather brilliant book - it's also a rattling good story.' Lisa Jardine 'A fascinating, brilliant account of the Renaissance world picture...' Kathryn Hughes, New Statesman 'Woolley handsomely captures a society torn between rationality and romance, cynicism and hero worship.' New Scientist 'An informative and enlightening book. It offers concise and lucid explanations of Dee's more abstruse and arcane theories. And it is immensely enjoyable, its narrative exciting and inexorable. I have not read as stimulating a study of the Elizabethan period since Charles Nicholl's book on Marlowe, ""The Reckoning"".' Thomas Wright, Daily Telegraph Praise for 'The Herbalist': 'The research is superb - rich, detailed, and original - and the lives Benjamin Woolley describes are as passionate as the great events of the English Civil War around which they orbit.' Adam Nicolson"
I am Mary Dunne,'An extraordinary piece of feminine characterisation.' Sunday Times  'I can think of no other living male novelist who writes about women with such sympathy and understanding.' Times Literary Supplement  'As complex and satisfying as anything Moore has yet done.' Observer  'One of the truest and most awesome books I have ever read.' Scotsman--This text refers to thePrint on Demand (Paperback)edition.
Walking on Air,"Christina Jones, brought up in a circus family, wrote short stories for some time before being encouraged to write her first novel, Going the Distance, which became a highly successful WHS Fresh Talent entry. She is married and lives outside Oxford. This is her fifth novel."
Coleridge: Darker Reflections v.2 (Vol 2),"'One of the greatest biographies of the century. Pure joy to read, it is a shimmering portrait of the mature artist veering between brilliance and despair.' Financial Times  'This -- and I can't remember ever thinking this before so strongly -- is a biography to grow old with.' Independent"
Mog and Bunny,"Any child who drags around a scruffy toy or blanket will identify with Mog, the Thomas family's cat, and his stuffed toy, Bunny. At night, Mog sleeps with Bunny. During the day, ""you never knew where Bunny would go next""in Mr. Thomas's slippers, or in Mog's water dish, or on a chair at suppertime. Kerr's text and pictures keep the action building as Bunny annoyingly turns up in the oddest places; Mr. and Mrs. Thomas finally threaten to throw Bunny in the trash. When a family picnic ends in a thunderstorm, Mog remains outside. At bedtime, the childrenNicky and Debbietry to coax Mog inside, and discover the reason he has endured the dark and the rain: Bunny is trapped under a barbecue fork and Mog can't carry it away. Nicky and Debbie rescue their cat and his toy, and even Mrs. Thomas agrees that Mog would be ""too sad"" if they ever threw Bunny away. All told, this story offers an inventive plot, sweet and funny art and a tactful point about treasures. Ages 3-6.Copyright 1989 Reed Business Information, Inc.--This text refers to theHardcoveredition."
The Namesake,"Any talk ofThe Namesake--Jhumpa Lahiri's follow-up to her Pulitzer Prize-winning debut,Interpreter of Maladies--must begin with a name: Gogol Ganguli. Born to an Indian academic and his wife, Gogol is afflicted from birth with a name that is neither Indian nor American nor even really a first name at all. He is given the name by his father who, before he came to America to study at MIT, was almost killed in a train wreck in India. Rescuers caught sight of the volume of Nikolai Gogol's short stories that he held, and hauled him from the train. Ashoke gives his American-born son the name as a kind of placeholder, and the awkward thing sticks.Awkwardness is Gogol's birthright. He grows up a bright American boy, goes to Yale, has pretty girlfriends, becomes a successful architect, but like many second-generation immigrants, he can never quite find his place in the world. There's a lovely section where he dates a wealthy, cultured young Manhattan woman who lives with her charming parents. They fold Gogol into their easy, elegant life, but even here he can find no peace and he breaks off the relationship.  His mother finally sets him up on a blind date with the daughter of a Bengali friend, and Gogol thinks he has found his match. Moushumi, like Gogol, is at odds with the Indian-American world she inhabits. She has found, however, a circuitous escape: ""At Brown, her rebellion had been academic ... she'd pursued a double major in French. Immersing herself in a third language, a third culture, had been her refuge--she approached French, unlike things American or Indian, without guilt, or misgiving, or expectation of any kind."" Lahiri documents these quiet rebellions and random longings with great sensitivity. There's no  cleverness or showing-off inThe Namesake, just beautifully confident storytelling. Gogol's story is neither comedy nor tragedy; it's simply that ordinary, hard-to-get-down-on-paper commodity: real life.--Claire Dederer--This text refers to an out of print or unavailable edition of this title."
The Indian Trilogy:  The Indian in the Cupboard / Return of the Indian / The Secret of the Indian,"Praise for The Indian in the Cupboard ""An assured piece of story-telling, well able to stand comparison with older classics."" Times Educational Supplement ""Enthralling and hair-raising reading."" TLS Praise for The Secret of the Indian ""There have been many famous stories in which children's toys come alive: this book is in the same great tradition."" School Library Association Praise for The Key to the Indian ""...a swiftly-moving, tightly-plotted, exciting, funny tale, which will keep the reader firmly hooked and frantically turning the pages."" Carousel"
The Tao of Physics (Flamingo),"""A brilliant best seller. . . . Lucidly analyzes the tenets of Hinduism, Buddhism, and Taoism to show their striking parallels with the latest discovery in cyclotrons.""--""New York"" magazine ""A pioneering book of real value and wide appeal.""--""Washington Post""""I have been reading the book with amazement and the greatest interest, recommending it to everyone I meet and, as often as possible, in my lectures. I think you have done a magnificent and extremely important job.""--""Joseph Campbell"""
Ballet Shoes for Anna (Collins Modern Classics),"""This book is a perfect, inspiring pick-me-up, especially to anyone with a dream. It is written with conviction and that classic old-time feel to take you to places you might never have known."" - Sunday Express Praise for Noel Streatfeild: ""Noel Streatfeild's position in the children's book world is unique. She is endlessly inventive, full of verve and real understanding of the surfaces of childhood. Her stories are rich in documentary interest and entertainment, escapism of a most satisfying sort."" TLS ""Noel Streatfeild is an author who is a true master of her craft."" Illustrated London News ""Noel Streatfeild has that happy, skilful knack of turning her characters into real people - something which only really good novelists can do."" BBC Children's Hour--This text refers to an alternatePaperbackedition."
Chronicles of Prydain,"""An exciting, highly imaginative, and sometimes profound fantasy of humor and heroism.""--The New York TimesonThe Castle of Llyr&#160;""Once-in-a-lifetime reading that will assure Prydain a permanent place in geographies of fictional territories.""--Kirkus Reviews(Starred Review) onThe Black Cauldron&#160;""A very funny adventure tale ... The writing is sophisticated.""--Bulletin of the Center for Children&#8217;s BooksonThe Book of Three&#160;""The author ... leavens with high good humor the high fantasy.""--Kirkus Reviews(Starred Review) onThe Book of Three&#160;""A wise and wondrous tale.""--BooklistonThe Black Cauldron&#160;""Character and dialogue is handled humorously and dextrously, which sets this classic-in-the-making apart from other folklore-based fantasies.""--Kirkus Reviews(Starred Review) onThe Castle of Llyr&#160;""All of the color and adventure one expects in the land of fantasy.""--Bulletin of the Center for Children&#8217;s BooksonTaran Wanderer&#160;""The book has the philosophical depth and overtones of great fantasy."" --The Horn BookonThe High King--This text refers to an alternatePaperbackedition."
Paddington at the Zoo,Praise for the Paddington series: 'I've always had great respect for Paddington...He is a British institution.' Stephen Fry 'Paddington has joined Pooh as one of the great bears of English children's literature.' The Teacher 'Michael Bond's accident-prone bear...has become one of the most enduring of children's characters.' The Bookseller--This text refers to an out of print or unavailable edition of this title.
Foucault (Modern Masters),By J. G. Merquior--This text refers to an out of print or unavailable edition of this title.
Black Maria,"""...Her hallmarks include laugh-aloud humour, plenty of magic and imaginative array of alternate worlds. Yet, at the same time, a great seriousness is present in all of her novels, a sense of urgency that links Jones's most outrageous plots to her readers' hopes and fears..."" Publishers Weekly"
Paddington Abroad,Praise for the Paddington series: 'I've always had great respect for Paddington... He is a British institution.' Stephen Fry 'Paddington has joined Pooh as one of the great bears of English children's literature.' The Teacher 'Michael Bond's accident-prone bear...has become one of the most enduring of children's characters.' The Bookseller
Beyond the Coral Sea: Travels in the Old Empires of the South-West Pacific,"'Everything you wanted to know about cannibalism but were afraid to ask is here.' Daily Telegraph 'Filled with tales of wonder, sadness and extraordinary behaviour.' Sunday Times"
Eight Days of Luke,"David dreads the upcoming holidays. Usually it means he is sent to camp or on an educational tour. This year, things are worsehis great-aunt and -uncle are confused about the last day of school and must cancel their own trip because they haven't scheduled something for David. Even worse, David finds that he can't seem to do anything right, and is constantly in trouble. Then, while playing in the garden, David unleashes unseen forces from another world; only with the help of the mysterious Luke can he send the forces back to the earth. Summer becomes more interestingLuke can charm David's relatives into letting them do almost anythinguntil David learns that the forces he freed are beyond his control. Loosely based on Norse mythology, this story is a smooth blend of myth and reality, a task that Jones ( A Tale of Time City ) performs with ease and assurance. Ages 12-up.Copyright 1988 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
I Spy Animals in Art,Selected by Lucy Micklethwait
Paddington at Large,"Gr. 3^-7. Under a bright, newly designed dust jacket lies the same old beloved Paddington, the always dignified, well-meaning, but troublemaking bear from ""darkest Peru."" Young readers will enjoy this reissue of the 1962 classic, which includes some of Paddington's best adventures (or misadventures, depending) in the extensive Paddington canon, such as his wild ride on a power lawnmower and his appearance on a game show, where his unusual logic wins him the jackpot. Paddington is, understandably, a favorite character for kids, one they can truly relate to, as his best-laid, well-intentioned plans somehow go topsy-turvy. As always, Bond's prose is fun to read, with the solemn, serious Paddington providing humorous contrast to the absurd goings-on around him. Peggy Fortnum's spare, evocative, often witty line drawings are as wonderful as ever, more representative of Paddington's character than the new jacket art, which makes him look like a cute, cuddly stuffed toy--a portrait with which Paddington himself would take issue.Shelle Rosenfeld--This text refers to an out of print or unavailable edition of this title."
The Secret of Terror Castle (Three Investigators),"Originally published in hardcover beginning in 1964, these classicmystery/adventure stories feature three boys--Jupiter Jones, Pete Crenshaw, andBob Andrews--who establish a detective firm with the motto ""We InvestigateAnything!"" Perfect for summer reading, these suspenseful action stories willappeal to both boys and girls.--This text refers to an out of print or unavailable edition of this title."
Windflower Wedding (Suttons of Yorkshire),"Elizabeth Elgin served in the WRNS during the Second World War. She met her husband on board a submarine depot ship. A keen gardener, she had two daughters, five grandsons and a great-granddaughter. She lived in a village in the Vale of York until her death in 2005."
The Mystery of Holly Lane (The 5 find-outers),"Enid Blyton Enid Blyton died in 1968 but remains one of the best-known and best-loved children's authors. The characters in her stories have been enjoyed for generations and she is consistently voted number one in children's favourite author polls. She has over 600 children's books to her credit, including series such as Malory Towers, St Clare's, The Faraway Tree, The Wishing-Chair and Famous Five.--This text refers to an alternatePaperbackedition."
Vegetarian Christmas,Rose Elliot is Britains' foremost vegetarian cookery writer -- she has helped revolutionise Britain's eating habits. All her books are available through HarperCollins.
The Sky is Falling,'Sheldon is an author working at the height of his power' New York Times 'Fast-moving... engrossing... Sidney Sheldon is a master at giving the public what it wants.' LA Times
Rough Justice,"During the biggest snowstorm in the history of Philadelphia, the jury is out. The defense is confident of a verdict of not guilty, but then client Elliot Steere admits to his council that he is a murderer. Marta Richter does not take this revelation happily. In fact, she's so outraged that she wants her client's secret revealed no matter what it does to her career. Steere isn't about to let her blow his chances, and with powerful connections, money, and muscle, he works from his jail cell to silence Marta and her colleagues before the sequestered jury makes a decision. If readers like soap opera?type cliffhangers at the end of each chapter, a plot that reads like a TV script, and a little gory violence here and there, they will like this book. The characters are well thought out, but most often sequences of the story unfold implausibly, as when Marta hunts for clues in her client's house and boat. Attorney Bennie Rosato, the feisty character from a previous Scottoline novel (Legal Tender, LJ 7/96), makes an appearance here but is not very involved in the plot except for a ""save-the-day"" routine in the last few chapters. This is essential for readers already hooked on Scottoline, but don't start with this one when introducing her to readers.-?Shirley Gibson Coleman, Ann Arbor Dist. Lib., Mich.Copyright 1997 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
"Easy Wheat, Milk and Egg Free Cooking, New Edition",Rita Greer is a specialist in cooking and catering for people with special diets. She is the author of a number of highly successful special diet cookbooks.
The Dalai Lama's Book of Transformation,"His Holiness the Dalai Lama is the head of state and spiritual leader of the Tibetan people. He was awarded the Nobel peace prize in 1989. He is the author of many books on Buddhism including Transforming the Mind,The Four Noble Truths, The Art of Happiness and Ancient Wisdom, Modern World."
